# wvl	a	b	c	rmse
2256.08865000 0.00158896 0.05562541 0.00000000 0.00000000
2261.05691000 0.00158812 0.05556690 0.00000000 0.00000000
2266.02412000 0.00158496 0.05534620 0.00000000 0.00000000
2270.99126000 0.00158216 0.05515072 -0.00000000 0.00000000
2275.95735000 0.00157877 0.05491509 0.00000000 0.00000000
2280.92437000 0.00157773 0.05484302 0.00000000 0.00000000
2285.89032000 0.00157758 0.05483232 0.00000000 0.00000000
2290.85622000 0.00157741 0.05482063 -0.00000000 0.00000000
2295.82205000 0.00157703 0.05479456 0.00000000 0.00000000
2300.78682000 0.00157832 0.05488462 0.00000000 0.00000000
2305.75153000 0.00157656 0.05476201 -0.00000000 0.00000000
2310.71617000 0.00157493 0.05464904 0.00000000 0.00000000
2315.68075000 0.00157356 0.05455395 0.00000000 0.00000000
2320.64526000 0.00157055 0.05434596 -0.00000000 0.00000000
2325.60870000 0.00156848 0.05420317 -0.00000000 0.00000000
2330.57208000 0.00156815 0.05418021 0.00000000 0.00000000
2335.53440000 0.00156770 0.05414899 0.00000000 0.00000000
2340.49765000 0.00156740 0.05412857 -0.00000000 0.00000000
2345.45983000 0.00156897 0.05423737 0.00000000 0.00000000
2350.42294000 0.00156891 0.05423300 -0.00000000 0.00000000
2355.38399000 0.00156852 0.05420648 0.00000000 0.00000000
2360.34597000 0.00156682 0.05408945 -0.00000000 0.00000000
2365.30688000 0.00156680 0.05408821 0.00000000 0.00000000
2370.26872000 0.00156248 0.05379030 0.00000000 0.00000000
2375.22849000 0.00156052 0.05365586 0.00000000 0.00000000
2380.18919000 0.00156148 0.05372187 0.00000000 0.00000000
2385.14983000 0.00156166 0.05373441 0.00000000 0.00000000
2390.10939000 0.00156163 0.05373287 0.00000000 0.00000000
2395.06888000 0.00156292 0.05382142 0.00000000 0.00000000
2400.02830000 0.00156447 0.05392892 -0.00000000 0.00000000
2404.98765000 0.00156586 0.05402448 0.00000000 0.00000000
2409.94593000 0.00156627 0.05405355 0.00000000 0.00000000
2414.90414000 0.00156582 0.05402255 -0.00000000 0.00000000
2419.86227000 0.00156562 0.05400882 0.00000000 0.00000000
2424.82033000 0.00156437 0.05392320 0.00000000 0.00000000
2429.77832000 0.00156369 0.05387633 -0.00000000 0.00000000
2434.73623000 0.00156693 0.05409969 -0.00000000 0.00000000
2439.69307000 0.00156896 0.05424067 -0.00000000 0.00000000
2444.64983000 0.00157389 0.05458223 0.00000000 0.00000000
2449.60652000 0.00157972 0.05498770 -0.00000000 0.00000000
