wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
931.1,9.49e-7,,,,,,,,,863,3.0903900E-07,2432.20400,1.15024440E-03,213
932.8,1.02e-6,,,,,,,,,864,3.1146000E-07,2437.81080,1.24965500E-03,214
934.6,1.09e-6,,,,,,,,,865,3.1388500E-07,2449.06320,1.34831120E-03,215
936.3,1.16e-6,,,,,,,,,866,3.1631600E-07,2460.36760,1.47160120E-03,216
938.1,1.26e-6,,,,,,,,,867,3.1944100E-07,2471.72420,1.58048410E-03,217
939.8,1.36e-6,939.8,1.17e-6,,,,,,,868,3.2188100E-07,2477.42210,1.70918920E-03,218
941.6,1.47e-6,941.6,1.24e-6,,,,,,,869,3.2501800E-07,2488.85730,1.81046500E-03,219
943.4,1.58e-6,943.4,1.32e-6,,,,,,,870,3.2816200E-07,2500.34540,1.90015990E-03,220
945.2,1.72e-6,945.2,1.42e-6,,,,,,,871,3.3131100E-07,,,221
947.0,1.86e-6,947.0,1.56e-6,,,,,,,872,3.3446700E-07,,,222
948.8,2.04e-6,948.8,1.70e-6,,,,,,,873,3.3832400E-07,,,223
950.6,2.25e-6,950.6,1.82e-6,,,,,,,874,3.4149400E-07,,,224
952.4,2.48e-6,952.4,2.04e-6,,,,,,,875,3.4536600E-07,,,225
954.2,2.75e-6,954.2,2.19e-6,,,,,,,876,3.4924600E-07,,,226
956.0,2.99e-6,956.0,2.39e-6,,,,,,,877,3.5313500E-07,,,227
957.9,3.19e-6,957.9,2.57e-6,,,,,,,878,3.5703100E-07,,,228
959.7,3.35e-6,959.7,2.66e-6,,,,,,,879,3.6163400E-07,,,229
961.5,3.47e-6,961.5,2.80e-6,,,,,,,880,3.6554700E-07,,,230
963.4,3.55e-6,963.4,2.88e-6,,,,,,,881,3.7016900E-07,,,231
965.3,3.61e-6,965.3,2.94e-6,,,,,,,882,3.7480000E-07,,,232
967.1,3.66e-6,967.1,3.00e-6,,,,,,,883,3.7944100E-07,,,233
969.0,3.69e-6,969.0,3.05e-6,,,,,,,884,3.8338800E-07,,,234
970.9,3.72e-6,970.9,3.16e-6,,,,,,,885,3.8804800E-07,,,235
972.8,3.75e-6,972.8,3.18e-6,,,,,,,886,3.9271600E-07,,,236
974.7,3.77e-6,974.7,3.23e-6,,,,,,,887,3.9739500E-07,,,237
976.6,3.78e-6,976.6,3.26e-6,,,,,,,888,4.0137600E-07,,,238
978.5,3.78e-6,978.5,3.28e-6,,,,,,,889,4.0607300E-07,,,239
980.4,3.76e-6,980.4,3.33e-6,,,,,,,890,4.1077900E-07,,,240
982.3,3.74e-6,982.3,3.31e-6,,,,,,,891,4.1478600E-07,,,241
984.3,3.71e-6,984.3,3.32e-6,,,,,,,892,4.1951000E-07,,,242
986.2,3.67e-6,986.2,3.34e-6,,,,,,,893,4.2353400E-07,,,243
988.1,3.62e-6,988.1,3.37e-6,,,,,,,894,4.2827600E-07,,,244
990.1,3.57e-6,990.1,3.37e-6,,,,,,,895,4.3231700E-07,,,245
992.1,3.50e-6,992.1,3.35e-6,,,,,,,896,4.3707800E-07,,,246
994.0,3.45e-6,994.0,3.26e-6,,,,,,,897,4.4184800E-07,,,247
996.0,3.38e-6,996.0,3.22e-6,,,,,,,898,4.4591400E-07,,,248
998.0,3.31e-6,998.0,3.22e-6,,,,,,,899,4.5070300E-07,,,249
1000.0,3.24e-6,1000.0,3.15e-6,,,,,,,900,4.5550100E-07,,,250
1002.0,3.16e-6,1002.0,3.15e-6,,,,,,,901,4.6031000E-07,,,251
1004.0,3.09e-6,1004.0,3.11e-6,,,,,,,902,4.6512700E-07,,,252
1006.0,3.01e-6,1006.0,3.05e-6,,,,,,,903,4.7067300E-07,,,253
1008.1,2.92e-6,1008.1,2.95e-6,,,,,,,904,4.7551000E-07,,,254
1010.1,2.83e-6,1010.1,2.92e-6,,,,,,,905,4.8107800E-07,,,255
1012.1,2.74e-6,1012.1,2.84e-6,,,,,,,906,4.8665600E-07,,,256
1014.2,2.66e-6,1014.2,2.75e-6,,,,,,,907,4.9296700E-07,,,257
1016.3,2.58e-6,1016.3,2.70e-6,,,,,,,908,4.9929100E-07,,,258
